Attribute,Electrolux,AEG,Westinghouse,Zanussi,Simpson,Haier,Asko,Smeg,LG,Samsung,Fisher & Paykel,Bosch,Miele,Hisense,Kelvinator,Panasonic,Sharp,Toshiba,Hitachi,Daikin,Elba,Aqua,Teka,Midea,Beko,Rinnai,Fotile,Mitsubishi,Modena,Tecnogas,Ariston,Polytron,Sanken,White-Westinghouse,Fujidenzo,La Germania,Whirlpool,Defy,Siemens,KIC,Olympic Electric,Fresh,Kiriazi,White Point,Arthur Martin,Franke,Bauknecht,Sauter,Tornado,Gibson,Maytag,Indesit
is a leader in sustainability,sustainability_57,sustainability_58,sustainability_59,sustainability_95,sustainability_68,sustainability_60,sustainability_61,sustainability_62,sustainability_63,sustainability_64,sustainability_65,sustainability_66,sustainability_67,sustainability_70,sustainability_71,sustainability_72,sustainability_73,sustainability_74,sustainability_75,sustainability_76,sustainability_92,sustainability_77,sustainability_78,sustainability_79,sustainability_80,sustainability_81,sustainability_82,sustainability_83,sustainability_84,sustainability_85,sustainability_86,sustainability_87,sustainability_88,sustainability_89,sustainability_90,sustainability_91,sustainability_93,sustainability_96,sustainability_97,sustainability_98,sustainability_99,sustainability_100,sustainability_101,sustainability_102,sustainability_103,sustainability_104,sustainability_105,sustainability_106,sustainability_107,sustainability_108,sustainability_109,sustainability_110
offers relevant solutions based on real needs,human-centricity_57,human-centricity_58,human-centricity_59,human-centricity_95,human-centricity_68,human-centricity_60,human-centricity_61,human-centricity_62,human-centricity_63,human-centricity_64,human-centricity_65,human-centricity_66,human-centricity_67,human-centricity_70,human-centricity_71,human-centricity_72,human-centricity_73,human-centricity_74,human-centricity_75,human-centricity_76,human-centricity_92,human-centricity_77,human-centricity_78,human-centricity_79,human-centricity_80,human-centricity_81,human-centricity_82,human-centricity_83,human-centricity_84,human-centricity_85,human-centricity_86,human-centricity_87,human-centricity_88,human-centricity_89,human-centricity_90,human-centricity_91,human-centricity_93,human-centricity_96,human-centricity_97,human-centricity_98,human-centricity_99,human-centricity_100,human-centricity_101,human-centricity_102,human-centricity_103,human-centricity_104,human-centricity_105,human-centricity_106,human-centricity_107,human-centricity_108,human-centricity_109,human-centricity_110
is stylish,style_57,style_58,style_59,style_95,style_68,style_60,style_61,style_62,style_63,style_64,style_65,style_66,style_67,style_70,style_71,style_72,style_73,style_74,style_75,style_76,style_92,style_77,style_78,style_79,style_80,style_81,style_82,style_83,style_84,style_85,style_86,style_87,style_88,style_89,style_90,style_91,style_93,style_96,style_97,style_98,style_99,style_100,style_101,style_102,style_103,style_104,style_105,style_106,style_107,style_108,style_109,style_110
is premium,premiumness_57,premiumness_58,premiumness_59,premiumness_95,premiumness_68,premiumness_60,premiumness_61,premiumness_62,premiumness_63,premiumness_64,premiumness_65,premiumness_66,premiumness_67,premiumness_70,premiumness_71,premiumness_72,premiumness_73,premiumness_74,premiumness_75,premiumness_76,premiumness_92,premiumness_77,premiumness_78,premiumness_79,premiumness_80,premiumness_81,premiumness_82,premiumness_83,premiumness_84,premiumness_85,premiumness_86,premiumness_87,premiumness_88,premiumness_89,premiumness_90,premiumness_91,premiumness_93,premiumness_96,premiumness_97,premiumness_98,premiumness_99,premiumness_100,premiumness_101,premiumness_102,premiumness_103,premiumness_104,premiumness_105,premiumness_106,premiumness_107,premiumness_108,premiumness_109,premiumness_110
is a leader in innovation,innovation_57,innovation_58,innovation_59,innovation_95,innovation_68,innovation_60,innovation_61,innovation_62,innovation_63,innovation_64,innovation_65,innovation_66,innovation_67,innovation_70,innovation_71,innovation_72,innovation_73,innovation_74,innovation_75,innovation_76,innovation_92,innovation_77,innovation_78,innovation_79,innovation_80,innovation_81,innovation_82,innovation_83,innovation_84,innovation_85,innovation_86,innovation_87,innovation_88,innovation_89,innovation_90,innovation_91,innovation_93,innovation_96,innovation_97,innovation_98,innovation_99,innovation_100,innovation_101,innovation_102,innovation_103,innovation_104,innovation_105,innovation_106,innovation_107,innovation_108,innovation_109,innovation_110
is a brand with status,status_57,status_58,status_59,status_95,status_68,status_60,status_61,status_62,status_63,status_64,status_65,status_66,status_67,status_70,status_71,status_72,status_73,status_74,status_75,status_76,status_92,status_77,status_78,status_79,status_80,status_81,status_82,status_83,status_84,status_85,status_86,status_87,status_88,status_89,status_90,status_91,status_93,status_96,status_97,status_98,status_99,status_100,status_101,status_102,status_103,status_104,status_105,status_106,status_107,status_108,status_109,status_110
has products with modern design,modernity_57,modernity_58,modernity_59,modernity_95,modernity_68,modernity_60,modernity_61,modernity_62,modernity_63,modernity_64,modernity_65,modernity_66,modernity_67,modernity_70,modernity_71,modernity_72,modernity_73,modernity_74,modernity_75,modernity_76,modernity_92,modernity_77,modernity_78,modernity_79,modernity_80,modernity_81,modernity_82,modernity_83,modernity_84,modernity_85,modernity_86,modernity_87,modernity_88,modernity_89,modernity_90,modernity_91,modernity_93,modernity_96,modernity_97,modernity_98,modernity_99,modernity_100,modernity_101,modernity_102,modernity_103,modernity_104,modernity_105,modernity_106,modernity_107,modernity_108,modernity_109,modernity_110
offers environmentally-responsible products,eco-friendliness_57,eco-friendliness_58,eco-friendliness_59,eco-friendliness_95,eco-friendliness_68,eco-friendliness_60,eco-friendliness_61,eco-friendliness_62,eco-friendliness_63,eco-friendliness_64,eco-friendliness_65,eco-friendliness_66,eco-friendliness_67,eco-friendliness_70,eco-friendliness_71,eco-friendliness_72,eco-friendliness_73,eco-friendliness_74,eco-friendliness_75,eco-friendliness_76,eco-friendliness_92,eco-friendliness_77,eco-friendliness_78,eco-friendliness_79,eco-friendliness_80,eco-friendliness_81,eco-friendliness_82,eco-friendliness_83,eco-friendliness_84,eco-friendliness_85,eco-friendliness_86,eco-friendliness_87,eco-friendliness_88,eco-friendliness_89,eco-friendliness_90,eco-friendliness_91,eco-friendliness_93,eco-friendliness_96,eco-friendliness_97,eco-friendliness_98,eco-friendliness_99,eco-friendliness_100,eco-friendliness_101,eco-friendliness_102,eco-friendliness_103,eco-friendliness_104,eco-friendliness_105,eco-friendliness_106,eco-friendliness_107,eco-friendliness_108,eco-friendliness_109,eco-friendliness_110
offers durable and reliable products,reliability_57,reliability_58,reliability_59,reliability_95,reliability_68,reliability_60,reliability_61,reliability_62,reliability_63,reliability_64,reliability_65,reliability_66,reliability_67,reliability_70,reliability_71,reliability_72,reliability_73,reliability_74,reliability_75,reliability_76,reliability_92,reliability_77,reliability_78,reliability_79,reliability_80,reliability_81,reliability_82,reliability_83,reliability_84,reliability_85,reliability_86,reliability_87,reliability_88,reliability_89,reliability_90,reliability_91,reliability_93,reliability_96,reliability_97,reliability_98,reliability_99,reliability_100,reliability_101,reliability_102,reliability_103,reliability_104,reliability_105,reliability_106,reliability_107,reliability_108,reliability_109,reliability_110
offers high-quality products,quality_57,quality_58,quality_59,quality_95,quality_68,quality_60,quality_61,quality_62,quality_63,quality_64,quality_65,quality_66,quality_67,quality_70,quality_71,quality_72,quality_73,quality_74,quality_75,quality_76,quality_92,quality_77,quality_78,quality_79,quality_80,quality_81,quality_82,quality_83,quality_84,quality_85,quality_86,quality_87,quality_88,quality_89,quality_90,quality_91,quality_93,quality_96,quality_97,quality_98,quality_99,quality_100,quality_101,quality_102,quality_103,quality_104,quality_105,quality_106,quality_107,quality_108,quality_109,quality_110
